iter	Passed	Remaining
0	4	899
1	9	838
2	13	802
3	17	793
4	21	780
5	25	765
6	29	766
7	33	756
8	37	751
9	42	747
10	46	742
11	50	740
12	54	734
13	59	732
14	63	727
15	67	720
16	71	716
17	76	714
18	80	711
19	84	705
20	88	698
21	92	692
22	96	686
23	100	679
24	104	674
25	108	669
26	111	663
27	115	657
28	119	652
29	123	647
30	127	641
31	131	635
32	135	632
33	139	628
34	143	622
35	147	617
36	151	613
37	155	608
38	158	603
39	162	598
40	166	594
41	170	589
42	174	584
43	178	580
44	182	576
45	186	571
46	190	568
47	194	563
48	198	559
49	202	555
50	206	550
51	210	547
52	214	543
53	218	538
54	222	534
55	226	529
56	230	525
57	234	521
58	238	516
59	242	512
60	245	508
61	249	504
62	253	499
63	257	495
64	261	490
65	265	486
66	269	482
67	273	477
68	277	473
69	280	469
70	285	465
71	288	461
72	292	457
73	296	452
74	300	448
75	304	444
76	308	440
77	311	435
78	315	431
79	319	427
80	323	423
81	327	419
82	331	415
83	335	411
84	339	407
85	343	403
86	347	399
87	351	395
88	355	391
89	359	387
90	363	383
91	367	379
92	371	375
93	375	371
94	378	366
95	382	362
96	386	358
97	390	354
98	394	351
99	398	346
100	402	342
101	406	338
102	410	334
103	414	330
104	418	326
105	421	322
106	425	318
107	429	314
108	433	310
109	437	306
110	441	302
111	444	297
112	448	293
113	452	289
114	456	285
115	460	281
116	464	277
117	467	273
118	471	269
119	475	265
120	479	261
121	483	257
122	486	253
123	490	249
124	494	245
125	498	241
126	502	237
127	506	233
128	509	229
129	513	225
130	517	221
131	521	217
132	525	213
133	530	209
134	534	205
135	538	201
136	542	197
137	546	193
138	550	189
139	554	186
140	558	182
141	562	178
142	566	174
143	570	170
144	574	166
145	578	162
146	582	158
147	586	154
148	590	150
149	594	146
150	598	142
151	602	138
152	606	134
153	610	130
154	615	126
155	619	123
156	623	119
157	627	115
158	630	111
159	634	107
160	638	103
161	642	99
162	645	95
163	649	91
164	653	87
165	657	83
166	661	79
167	665	75
168	668	71
169	672	67
170	676	63
171	680	59
172	684	55
173	687	51
174	691	47
175	695	43
176	699	39
177	704	35
178	708	31
179	712	27
180	716	23
181	720	19
182	724	15
183	728	11
184	732	7
185	735	3
186	739	0
