NIM,Program Studi,Sebutkan kategori jenis pekerjaan yang Anda lakukan di tempat bekerja!,Jelaskan tugas-tugas utama dalam pekerjaan Anda saat ini?,Apakah pekerjaan yang Anda lakukan di tempat bekerja sesuai dengan bidang keilmuan?,Seberapa erat hubungan bidang studi dengan pekerjaan Anda?,Seberapa besar program studi Anda bermanfaat untuk hal-hal di bawah ini? [pembelajaran yang berkelanjutan dalam pekerjaan],Bidang usaha bekerja,Organisasi apa yang paling aktif Anda ikuti selama menjalani perkuliahan? (nama organisasi),IP,Sebutkan jenis kegiatan di organisasi yang aktif diikuti yang membantu mengasah kemampuan/skill Anda!,Seberapa besar program studi Anda bermanfaat untuk hal-hal di bawah ini? [memulai pekerjaan]
10116001,Matematika,Aktuaria,"Responsible for Actuarial Pricing, Valuation, and IFRS17 Implementation on Life Reinsurance",ya,item3,2,K,HIMATIKA ITB,3.72,Komunikasi,4
10116002,Matematika,IT App Development,Mengembangkan aplikasi dengan Outsystems,ya,item3,5,K,HIMATIKA ITB,3.28,Menjadi Kadiv Majalah Fourier,5
10116003,Matematika,analisa bisnis,-,ya,item2,5,R,Himatika,3.83,MCF,5
10116005,Matematika,Strategic & Planning,"Menganalisa data, merancang strategi, dan berkoordinasi dengan departemen terkait",tidak,item3,4,C,HIMATIKA ITB,3.62,Badan Pengurus,4
10116007,Matematika,Analisa Data,Analisa data,ya,item3,4,K,HIMATIKA,3.71,-,4
10116009,Matematika,Analis kredit (akutansi & ekonomi),Kredit analis korporasi di Bank swasta,tidak,item4,4,K,Himpunan,3.42,Itbunited,4
10116011,Matematika,Data Analisis,,ya,item3,4,J,HIMATIKA,3.3,Kepanitiaan berbagai acara himpunan,4
10116012,Matematika,Evaluasi,Data analis dan evaluasi performa bisnis,ya,item3,5,K,HIMATIKA ITB,3.83,Menjadi sekjen himpunan,5
10116013,Matematika,Pricing Analyst,Menganalisis risiko asuransi dan menghitung premi produk asuransi,ya,item1,5,K,HIMATIKA ITB,3.65,BSO dan kepanitiaan wisuda,5
10116014,Matematika,Data management,Mengelola data base perusahaan,tidak,,4,J,Unit Kebudayaan Jepang,3.07,-,4
10116015,Matematika,IT,"1. DevOps Datawarehose
2. Investigae issues
3. SME Review
4. Improve prosess existing
dll",tidak,item3,2,S,HIMATIKA,3.3,"Kajian, Kepanitiaan Wisuda, Perlombaan dll",2
10116016,Matematika,Underwriting,,ya,item2,5,K,Genshiken ITB,3.99,Panitia kegiatan,5
10116017,Matematika,Data Analyst,Menganalisis data,ya,item1,2,I,HIMATIKA ITB,3.57,Badan Pengurus,4
10116018,Matematika,Software engineer ,Software Engineer (Backend),ya,item3,4,J,HIMATIKA,3.03,Mcf itb,4
10116020,Matematika,"Tridharma PT (Pendidikan, Penelitian, Pengmas)",Dosen,ya,item1,4,P,HIMATIKA dan KM ITB,3.52,Legislasi Kongres KM ITB,2
10116021,Matematika,Aktuaria,"Hal2 ttg aktuaria seperti cadangan teknis, ifrs17, dll",ya,item1,5,K,HIMATIKA,3.67,Jadi kahim,5
10116022,Matematika,Strategi,Anggota Team Strategi dan Transformasi pada Perusahaan,tidak,item4,4,K,Himpunan Program Studi,3.46,Organisasi di luar kampus di bidang sosial,4
10116024,Matematika,Analis keuangan,Analis keuangan menyusun RAB,tidak,item3,5,O,KAM ITB,3.4,Mengajar privat,5
10116026,Matematika,Risk management,Maybank Indonesia,ya,item2,4,K,Himpunan,3.08,Kegiatan kepanitiaan dalam himpunan,4
10116027,Matematika,Data Analyst,"Sebagai analis data di perusahaan startup yang bergerak di bidang teknologi keuangan, tugas-tugas utama yang saya lakukan antara lain:
- Menyusun deliverables (laporan, presentasi, dashboard, dsb.), dan menyediakan wawasan (insight) melalui analisis data untuk mendukung pengambilan keputusan bisnis.
- Bekerja sama dengan stakeholder dari berbagai tim/departemen untuk melayani kebutuhan terkait data serta memonitor performa bisnis.",ya,item2,5,K,Himpunan Mahasiswa Matematika (HIMATIKA),3.53,Badan kepengurusan dan event organizer,5
10116029,Matematika,Analisis Data,,tidak,,4,J,"MBWG ITB, HIMATIKA ITB, KSEP ITB",3.04,"Kompetisi Marching Band (2017 & 2018); menjadi pelatih di MBWG; menjadi BP di MBWG; menjadi staff dan panitia di MBWG, HIMATIKA, dan KSEP",4
10116030,Matematika,Model risiko,Memodelkan dan Monitoring model risiko IFRS9 pada sebuah bank. ,ya,item2,2,K,Himatika itb,3.52,-,2
10116033,Matematika,Actuary,Reserving Actuary,ya,item1,4,K,Himpunan,3.63,Panitia wisuda,4
10116035,Matematika,Pengolahan dan pelaporan data,"Melakukan monitoring, membuat evaluasi dan laporan produksi perusahaan dan menyusun berkas administratif bulanan untuk kepentingan produksi",tidak,item3,4,B,HIMATIKA ITB,3.45,MCF ITB,4
10116036,Matematika,Business Consultant,"Data analysis, business analysis, quantitative and qualitative research, business consultant",ya,item2,2,A,HIMATIKA ITB,3.4,Kaderisasi anggota baru HIMATIKA ITB,4
10116038,Matematika,IT,Mengembangkan model machine learning secara end to end untuk sistem rekomendiasi,ya,item3,4,J,Unit Budaya Lampung,3.16,Mengorganisir event,5
10116039,Matematika,analisa data,Analisis portofolio bank untuk menentukan strategi dalam mengingkatkan bisnis,ya,item3,4,K,HIMATIKA,3.52,Rapat/diskusi bersama melatih skill dalam public speaking,4
10116040,Matematika,Sales dan marketing,Menjual kredit ,ya,item4,2,K,KSEP,3.67,Belajar saham,2
10116041,Matematika,Data Analyst,Menganalisa Data dan Membuat Dashboard Data,ya,item3,4,J,HIMATIKA,3.27,Kegiatan Ekstra Kampus,4
10116042,Matematika,-,Project Manager,ya,item4,2,K,-,3.86,-,2
10116043,Matematika,Actuarial Pricing,Insurance product pricing,ya,item1,5,K,Himatika,3.94,Mengikuti kepanitiaan suatu acara,5
10116044,Matematika,,Risk management,,,4,,Himatika,2.99,_,4
10116045,Matematika,"PPIC, Data Analis",,tidak,item4,5,C,Kabinet KM ITB,3.13,Diklat Dasar Aktivis Terpusat,2
10116048,Matematika,"Mengajar, mengoreksi",Mengajar,ya,item1,5,P,HIMATIKA ITB dan INFINITY ITB,3.5,Hearing himpunan,5
10116050,Matematika,Analisa dan Pengembangan,Pengembangan Organisasi Perusahaan,tidak,item3,4,K,HIMATIKA,3.6,ANNISA,4
10116051,Matematika,Analis,"Konsultan, bekerja dengan data untuk menghasilkan insight",ya,item2,2,S,Komunitas Mahasiswa Buddhis dan Unit Kegiatan Tionghoa,3.81,Menjadi pengurus organisasi,4
10116052,Matematika,Strategy Planning,,tidak,item3,4,I,HIMATIKA,3.58,"diskusi, kunjungan",4
10116053,Matematika,Digital Marketing,,ya,item3,2,S,Himpunan Mahasiswa Matematik,3.32,Bekerjasama dengan orang lain,2
10116054,Matematika,-,Menganalisa data,ya,item3,4,K,HIMATIKA,3.83,-,4
10116055,Matematika,Mengajar,"Mengajar, memberi modul pelatihan, juga memastikan anak-anak murid dapat menjawab ujian.",ya,item1,5,P,"HIMATIKA, ISO, KMK",3.53,Acara-acara rutin tahunan,5
10116056,Matematika,technical actuary,"menghitung cadangan teknis perusahaan, melakukan analisa dan evaluasi produk asuransi yang dijual",ya,item1,5,K,HIMATIKA ITB,3.86,"Wisokto 2018, MCF ITB 2019, Mathco",4
10116057,Matematika,Underwriting,Melakukan perhitungan premi dan analisa resiko tertanggung (pemegang polis asuransi),ya,item1,4,K,HIMATIKA ITB,3.26,"Kepanitiaan suatu acara (wisuda, dll.)",4
10116058,Matematika,artificial intelligence research engineer,,ya,item1,5,J,Kabinet KM-ITB,3.92,Ketua Divisi,5
10116059,Matematika,Data Science,membuat model prediksi penjualan barang,ya,item1,4,G,HIMATIKA ITB,3.66,"Membuat pelatihan, memikirkan ",4
10116062,Matematika,-,Mengolah dan membuat storytelling data,ya,item2,5,S,Pramuka ITB,3.71,"Pengabdian masyarakat, Raimuna Nasional 2017",4
10116063,Matematika,management,,tidak,item4,4,J,Himatika,3.69,kepanitiaan,4
10116065,Matematika,Sales and Marketing,Sales and marketing,tidak,item5,4,I,HIMATIKA,3.7,Ketua wisokto,4
10116068,Matematika,,,,,5,,HIMATIKA ITB,3.34,Panitia Acara Himpunan Jurusan (Logistik),4
10116069,Matematika,IT Consulting Firm,Menjadi IT- Data consultant,ya,item2,4,J,"KKN Tematik ITB, Salman",3.06,Organisasi yang jadi ketua,4
10116070,Matematika,Data Operation,Mendukung otomasi dan monitoring operasional dari data engineering team,tidak,,5,J,HIMATIKA ITB,3.26,Data Science Mentoring,5
10116071,Matematika,Menghitung cadangan perusahaan,-,ya,item2,4,K,HIMATIKA,3.5,Menjadi panitia untuk beberapa acara,4
10116073,Matematika,Data Analyst,,ya,item1,5,K,Himpunan Mahasiswa Matematika ITB,3.65,Diskusi,5
10116074,Matematika,treasury,treasury,tidak,item2,2,K,HIMATIKA & PSM ITB,3.6,-,4
10116076,Matematika,Purchasing Staff,,tidak,item5,2,F,HIMATIKA ITB,2.95,Ketua Acara Career Talk Series II 2017/2018,4
10116077,Matematika,Media Industry Research,"Membuat laporan (daily/weekly) dan menganalisis data-data performa (TVR/Share) stasiun TV, baik TRANS7 maupun kompetitor. Analisis data dibagi menjadi internal (migrasi/perpindahan gain & loss penonton, kategori profil pemirsa) serta eksternal (market/kepemirsaan TV, pola program kompetitor yang berubah/spesial).",ya,item3,4,J,UKB DEBUST ITB,3.55,"Pengembangan Masyarakat, Presentasi",4
10116078,Matematika,Asisten Dosen,,ya,item1,5,P,GAMAIS ITB,3.75,-,5
10116080,Matematika,Aktuaris,"Aktuari IFRS, membereskan data untuk mempersiapkan sistem pelaporan aktuari IFRS17",ya,item1,5,K,HIMATIKA,3.74,Kepengurusan organisasi,5
10116081,Matematika,Data Science,Mengolah data dan membangun model machine learning untuk menyelesaikan masalah,ya,item3,5,K,ITB Student Orchestra,3.81,Annual Concert,5
10116082,Matematika,Officer Retail Funding & Solution,"Menganalisa performa cabang, Menyiapkan materi presentasi Area Head, Membuat program untuk cabang",ya,item3,4,K,HIMATIKA,3.43,Career Talk Series,4
10116085,Matematika,IT,Bertugas untuk menjaga operasional database pada aplikasi di perusahaan saat ini,tidak,item4,5,K,HIMATIKA,3.35,Kegiatan kunjungan antar kampus,4
10116086,Matematika,,Analis,,,2,,Atletik ganesha,3.71,Kepanitiaan acara,4
10116087,Matematika,"Negosiasi, presentasi, analisa data, berpikir kritis","1. Framing permasalaha client
2. Interview, analisa data untuk mendapatkan insights
3. Memberikan rekomendasi untuk perbaikan bisnis client",tidak,item4,1,S,Students Catalyst,3.81,"Workshop cara membuat CV, Connection Event dengan professionals di berbagai bidang, Workshop Interview yang baik",1
10116088,Matematika,Insinyur kelautan,"Analisis data metocean; memodelkan gelombang, morfologi, kualitas air, hidrodinamika dan hidrolika; automasi pekerjaan-pekerjaan manual.",ya,item1,5,M,Marching Band Waditra Ganesha ITB,3.83,Latihan rutin,5
10116090,Matematika,Konsultan risiko keuangan,"Analisis risiko keuangan dari perusahaan, riset metode2 yang dapat diterapkan, presentasi dll.",ya,item2,4,M,HIMATIKA,3.92,Kepanitiaan Mathco,4
10116092,Matematika,E-Commerce Operations,Mengelola online marketplace dan menjadi jembatan antara perusahaan dengan pihak marketplace untuk mendapatkan exposure lebih yang dapat membantu meningkatkan penjualan online.,tidak,item5,2,G,HIMATIKA,3.18,Redaksi majalah matematika,2
10116094,Matematika,informasi teknologi,Memeriksa kualitas isu data perusahaan dari sisi IT,tidak,item3,4,K,Organisasi Himpunan,3.26,-,4
10116095,Matematika,-,,ya,item1,4,K,Unit Tenis,3.46,Leadership,4
10116097,Matematika,Data Science,,ya,item3,4,K,Himatika,3.33,Panitia MCF ITB,4
10116098,Matematika,"Menganalisa Data, Membuat Peraturan & SOP, Mengkoordinasikan Kegiatan Nasional",Menganalisa potensi penyelesaian Kredit Macet yang sudah di Hapus Bukukan oleh Perusahaan,tidak,item4,4,K,KMK ITB,3.05,Pembuatan Acara,2
