feature,importance
relationship_level_ordinal,0.41643865979381456
job_category_encoded,0.05567731958762885
Seberapa besar program studi Anda bermanfaat untuk hal-hal di bawah ini? [memulai pekerjaan],0.027640206185567024
program_studi_clean_encoded,0.01835154639175258
is_technical,0.01773865979381443
Seberapa besar program studi Anda bermanfaat untuk hal-hal di bawah ini? [memulai pekerjaan]_numeric,0.016800000000000006
technical_x_relationship,0.016627319587628867
ip_x_org_active,0.010918041237113398
ip_numeric,0.010470618556701027
Seberapa besar program studi Anda bermanfaat untuk hal-hal di bawah ini? [pembelajaran yang berkelanjutan dalam pekerjaan]_numeric,0.010088659793814427
Seberapa besar program studi Anda bermanfaat untuk hal-hal di bawah ini? [pembelajaran yang berkelanjutan dalam pekerjaan],0.008789175257731962
IP,0.007067010309278349
